Date,Open,High,Low,Close,Volume
2021-03-29,236.99,237.5,226.0,229.07,782778.0
2021-03-30,227.95,232.49,226.1,227.84,448301.0
2021-03-31,228.6,236.5,228.6,230.63,1945617.0
2021-04-01,230.63,233.0,225.0,226.77,285398.0
2021-04-02,229.99,230.5,225.01,226.36,240616.0
2021-04-05,228.25,228.25,221.5,221.87,351202.0
2021-04-06,222.0,228.4,221.73,227.01,657662.0
2021-04-07,228.75,228.75,220.0,221.44,554292.0
2021-04-08,221.99,226.98,221.45,225.73,338498.0
2021-04-09,228.0,228.2,225.1,226.37,436947.0
2021-04-12,225.13,226.37,220.99,221.26,376282.0
2021-04-13,221.98,221.98,219.55,220.5,397890.0
2021-04-14,220.98,223.0,220.17,222.33,314043.0
2021-04-15,224.51,225.88,221.0,221.61,482849.0
2021-04-16,221.55,223.8,220.25,220.91,148195.0
2021-04-19,218.01,220.6,216.52,217.67,382648.0
2021-04-20,220.49,220.99,216.55,217.31,450036.0
2021-04-21,218.0,220.0,215.01,215.86,359967.0
2021-04-22,214.56,221.06,214.3,215.09,862221.0
2021-04-23,214.5,214.5,210.5,213.21,445386.0
2021-04-26,210.5,229.2,208.01,223.51,1816013.0
2021-04-27,221.51,222.01,214.05,215.37,732651.0
2021-04-28,216.5,222.5,214.15,215.25,815961.0
2021-04-29,214.9,223.4,214.9,216.46,1194360.0
2021-04-30,217.02,218.0,211.15,212.24,464658.0
2021-05-03,212.9,214.9,211.0,213.15,546282.0
2021-05-04,213.0,215.85,213.0,214.36,275784.0
2021-05-05,220.0,224.0,217.5,221.18,1190131.0
2021-05-06,224.0,225.0,220.5,221.69,846694.0
2021-05-17,223.5,224.8,219.81,220.79,1028596.0
2021-05-18,221.89,233.01,219.99,231.0,3726803.0
2021-05-19,232.8,232.8,226.0,226.46,1068975.0
2021-05-20,226.51,227.98,225.0,225.36,408768.0
2021-05-21,225.1,230.3,224.99,229.34,765532.0
2021-05-24,229.34,230.8,226.15,226.92,286900.0
2021-05-25,227.45,228.49,224.45,225.21,1031078.0
2021-05-26,226.5,230.0,225.1,228.65,2375909.0
2021-05-27,230.61,233.01,225.5,227.21,1922386.0
2021-05-28,227.0,232.99,226.93,231.69,3146827.0
2021-05-31,234.0,241.0,233.5,240.11,3896698.0
2021-06-01,242.0,242.49,236.8,238.09,1614510.0
2021-06-02,239.0,241.88,236.0,240.7,2581553.0
2021-06-03,245.0,246.9,242.27,243.17,4500280.0
2021-06-04,244.48,245.5,242.05,243.04,2438321.0
2021-06-07,248.0,248.74,239.51,240.64,2819175.0
2021-06-08,239.1,240.5,234.11,235.76,1648975.0
2021-06-09,236.75,237.5,231.25,232.03,1261588.0
2021-06-10,232.79,237.1,231.81,235.18,1099462.0
2021-06-11,236.0,238.87,232.25,232.79,1080036.0
2021-06-14,237.75,237.79,232.32,234.27,1640245.0
2021-06-15,235.0,240.7,234.0,236.52,2379998.0
2021-06-16,238.0,239.5,234.0,234.88,1811010.0
2021-06-17,234.0,235.85,232.2,232.66,636617.0
2021-06-18,232.66,234.4,231.0,233.49,1779605.0
2021-06-21,232.99,233.5,228.0,229.11,660225.0
2021-06-22,229.5,231.45,227.25,228.07,1035031.0
2021-06-23,228.1,229.48,225.0,225.86,1232807.0
2021-06-24,225.99,228.99,225.6,227.35,530214.0
2021-06-25,228.99,229.1,223.52,224.4,1098470.0
2021-06-28,224.4,224.8,220.0,220.68,4588746.0
2021-06-29,221.1,225.2,220.98,221.82,818098.0
2021-06-30,223.2,225.88,220.81,224.25,1048507.0
2021-07-01,224.25,227.3,224.24,225.41,706794.0
2021-07-02,226.39,227.0,223.7,224.14,476989.0
2021-07-05,223.5,225.9,222.5,223.16,3538422.0
2021-07-06,223.3,228.5,223.15,226.14,1345807.0
2021-07-07,227.0,227.0,224.0,225.84,675890.0
2021-07-08,226.99,230.75,226.5,230.07,1647015.0
2021-07-09,230.2,231.69,226.0,227.96,807934.0
2021-07-12,227.99,229.0,226.0,226.18,285749.0
2021-07-13,226.4,226.69,224.25,224.89,257872.0
2021-07-14,225.05,227.1,225.01,226.73,402559.0
2021-07-15,226.06,231.0,226.06,229.4,1206603.0
2021-07-16,229.0,230.79,228.0,228.11,527768.0
2021-07-19,228.9,229.0,225.75,227.19,383606.0
2021-07-23,227.0,227.99,224.9,225.22,328892.0
2021-07-26,226.0,227.24,224.5,225.61,551459.0
2021-07-27,226.0,226.0,211.11,220.19,710689.0
2021-07-28,223.0,223.4,218.1,219.59,525890.0
2021-07-29,219.98,222.98,216.0,220.09,597756.0
2021-07-30,220.49,225.0,216.51,220.84,611132.0
2021-08-02,219.99,222.75,218.5,221.35,621948.0
2021-08-03,221.25,224.85,221.25,224.22,755664.0
2021-08-04,224.9,226.0,222.5,223.14,454804.0
2021-08-05,223.49,223.75,221.41,221.75,117881.0
2021-08-06,222.0,223.19,220.5,220.67,111174.0
2021-08-09,221.0,221.9,218.5,219.08,402948.0
2021-08-10,219.01,220.2,217.01,217.94,226856.0
2021-08-11,218.07,221.0,217.25,218.6,741270.0
2021-08-12,219.05,219.99,214.51,215.27,607670.0
2021-08-13,215.89,215.89,214.0,214.32,489646.0
2021-08-16,214.5,217.55,213.25,215.14,397206.0
2021-08-17,215.26,221.0,215.26,219.68,508625.0
2021-08-20,220.99,226.9,220.2,225.85,1150578.0
2021-08-23,228.2,232.89,225.85,231.3,3228383.0
2021-08-24,227.55,228.8,222.15,222.99,3432799.0
2021-08-25,222.76,224.3,220.2,220.71,620371.0
2021-08-26,221.01,221.75,217.56,217.86,500853.0
2021-08-27,218.0,218.81,215.01,216.95,731273.0
2021-08-30,216.5,219.99,216.0,217.87,746275.0
2021-08-31,217.6,219.5,216.0,216.62,294496.0
2021-09-01,217.51,218.68,217.35,218.08,342156.0
2021-09-02,217.28,218.18,215.01,216.2,526249.0
2021-09-03,216.3,217.0,214.41,215.13,334152.0
2021-09-06,214.97,216.89,214.41,215.67,382961.0
2021-09-07,215.1,216.0,211.75,213.0,579993.0
2021-09-08,213.02,213.99,212.5,212.91,494199.0
2021-09-09,214.0,215.0,213.06,213.81,121798.0
2021-09-10,213.0,215.7,213.0,214.17,211983.0
2021-09-13,215.0,218.9,214.5,216.33,492097.0
2021-09-14,216.5,217.0,211.15,213.87,520390.0
2021-09-15,214.11,214.9,210.74,212.15,283946.0
2021-09-16,213.45,214.08,211.11,212.31,234340.0
2021-09-17,212.9,212.9,206.5,207.87,617453.0
2021-09-20,208.0,208.0,204.5,205.95,208407.0
2021-09-21,206.0,208.0,203.0,204.32,428633.0
2021-09-22,204.73,204.99,197.0,202.18,804947.0
2021-09-23,203.01,204.5,198.0,200.14,332474.0
2021-09-24,199.99,202.49,196.8,198.62,577735.0
2021-09-27,197.52,200.95,191.0,195.45,722958.0
2021-09-28,197.0,202.0,195.45,199.59,495924.0
2021-09-29,198.85,199.0,193.51,195.51,787079.0
2021-09-30,194.99,203.0,194.01,200.99,1158987.0
2021-10-01,202.99,202.99,198.0,198.5,974301.0
2021-10-04,197.9,201.6,196.0,200.38,502445.0
2021-10-05,200.01,201.7,199.0,199.95,143874.0
2021-10-06,200.0,200.99,198.0,198.68,117627.0
2021-10-07,197.5,200.25,197.5,198.52,114698.0
2021-10-08,198.0,199.0,196.4,197.03,138660.0
2021-10-11,196.0,197.0,192.9,193.24,351818.0
2021-10-12,192.01,196.0,188.11,194.31,889337.0
2021-10-13,187.0,187.9,178.0,182.7,504402.0
2021-10-14,182.0,190.0,179.02,187.46,412007.0
2021-10-15,188.99,192.0,185.81,190.02,427290.0
2021-10-18,187.3,193.53,187.01,187.86,787815.0
2021-10-20,187.5,192.4,187.5,189.56,506769.0
2021-10-21,190.47,192.2,189.25,190.39,499391.0
2021-10-22,190.35,190.49,183.6,184.78,698277.0
2021-10-25,183.01,186.0,182.11,184.72,162970.0
2021-10-26,184.99,184.99,182.0,182.66,151015.0
2021-10-27,185.2,190.2,184.0,186.34,809602.0
2021-10-28,187.51,194.95,186.8,190.93,1168328.0
2021-10-29,191.5,191.5,189.0,190.31,278370.0
2021-11-01,191.0,197.7,191.0,195.53,866589.0
2021-11-02,196.0,198.94,195.06,196.47,630051.0
2021-11-03,196.5,198.0,191.01,192.2,753617.0
2021-11-04,193.5,195.0,191.5,192.46,335843.0
2021-11-05,195.0,195.8,192.5,193.5,539160.0
2021-11-08,194.34,194.34,191.0,191.52,278698.0
2021-11-09,191.57,192.35,187.75,188.34,543304.0
2021-11-10,188.55,190.67,188.0,188.8,361509.0
2021-11-11,188.0,190.48,185.15,185.94,236088.0
2021-11-12,185.01,186.0,182.51,183.72,253856.0
2021-11-15,183.0,183.5,181.1,182.17,162269.0
2021-11-16,183.8,186.65,180.0,186.03,469007.0
2021-11-17,185.9,185.9,181.71,182.25,274896.0
2021-11-18,181.3,183.0,180.0,181.4,493243.0
2021-11-19,182.4,182.99,180.5,181.03,378742.0
2021-11-22,180.99,180.99,178.1,178.83,835628.0
